time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-12 00:00:00+00:00,615,281,863,317
2025-10-13 00:00:00+00:00,1019,401,1223,486
2025-10-14 00:00:00+00:00,897,403,1336,541
2025-10-15 00:00:00+00:00,919,376,1504,579
2025-10-16 00:00:00+00:00,937,403,1255,517
2025-10-17 00:00:00+00:00,996,388,1207,475
2025-10-18 00:00:00+00:00,759,258,800,358
2025-10-19 00:00:00+00:00,675,308,888,416
2025-10-20 00:00:00+00:00,824,377,1309,510
2025-10-21 00:00:00+00:00,1116,409,1437,504
2025-10-22 00:00:00+00:00,883,385,1258,483
2025-10-23 00:00:00+00:00,1794,383,1294,503
2025-10-24 00:00:00+00:00,1699,406,1564,540
2025-10-25 00:00:00+00:00,742,267,1059,381
