time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-06 00:00:00+00:00,1009,405,1179,541
2025-11-07 00:00:00+00:00,977,371,915,468
2025-11-08 00:00:00+00:00,637,275,877,371
2025-11-09 00:00:00+00:00,491,250,734,352
2025-11-10 00:00:00+00:00,1205,415,1357,535
2025-11-11 00:00:00+00:00,1083,437,1432,554
2025-11-12 00:00:00+00:00,883,406,1447,655
2025-11-13 00:00:00+00:00,901,392,1208,511
2025-11-14 00:00:00+00:00,1023,339,1090,480
2025-11-15 00:00:00+00:00,651,279,886,387
2025-11-16 00:00:00+00:00,489,246,730,319
2025-11-17 00:00:00+00:00,1052,380,1180,488
2025-11-18 00:00:00+00:00,1000,395,1233,517
2025-11-19 00:00:00+00:00,1021,394,1294,531
