time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-26 00:00:00+00:00,1914,561,1771,684
2025-11-27 00:00:00+00:00,1702,593,1907,672
2025-11-28 00:00:00+00:00,1577,537,1770,625
2025-11-29 00:00:00+00:00,1070,412,1429,501
2025-11-30 00:00:00+00:00,1123,406,1324,485
2025-12-01 00:00:00+00:00,1642,589,1860,661
2025-12-02 00:00:00+00:00,2291,793,2088,725
2025-12-03 00:00:00+00:00,2131,683,2152,711
2025-12-04 00:00:00+00:00,2172,681,2093,712
2025-12-05 00:00:00+00:00,1680,655,2113,684
2025-12-06 00:00:00+00:00,1276,477,1448,519
2025-12-07 00:00:00+00:00,1197,426,1190,526
2025-12-08 00:00:00+00:00,2301,777,2419,738
2025-12-09 00:00:00+00:00,1669,621,1881,708
