time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-05 00:00:00+00:00,470,245,699,319
2025-10-06 00:00:00+00:00,847,337,1019,425
2025-10-07 00:00:00+00:00,830,329,913,406
2025-10-08 00:00:00+00:00,871,340,905,375
2025-10-09 00:00:00+00:00,876,331,1100,481
2025-10-10 00:00:00+00:00,936,327,1181,452
2025-10-11 00:00:00+00:00,746,274,950,318
2025-10-12 00:00:00+00:00,615,281,863,317
2025-10-13 00:00:00+00:00,1019,401,1223,486
2025-10-14 00:00:00+00:00,897,403,1336,541
2025-10-15 00:00:00+00:00,919,376,1504,579
2025-10-16 00:00:00+00:00,937,403,1255,517
2025-10-17 00:00:00+00:00,996,388,1207,475
2025-10-18 00:00:00+00:00,711,239,742,337
