time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-14 00:00:00+00:00,1023,339,1090,480
2025-11-15 00:00:00+00:00,651,279,886,387
2025-11-16 00:00:00+00:00,489,246,730,319
2025-11-17 00:00:00+00:00,1052,380,1180,488
2025-11-18 00:00:00+00:00,1000,395,1233,517
2025-11-19 00:00:00+00:00,1042,401,1326,539
2025-11-20 00:00:00+00:00,943,411,1349,561
2025-11-21 00:00:00+00:00,1113,369,1269,519
2025-11-22 00:00:00+00:00,975,346,913,406
2025-11-23 00:00:00+00:00,539,266,926,355
2025-11-24 00:00:00+00:00,1090,431,1308,543
2025-11-25 00:00:00+00:00,1769,556,1780,625
2025-11-26 00:00:00+00:00,1914,561,1771,684
2025-11-27 00:00:00+00:00,1626,579,1805,645
