time_iso8601,stars_cumulative
2025-08-04 00:00:00+00:00,2680
2025-08-05 00:00:00+00:00,2691
2025-08-06 00:00:00+00:00,2700
2025-08-07 00:00:00+00:00,2710
2025-08-08 00:00:00+00:00,2719
2025-08-09 00:00:00+00:00,2730
2025-08-10 00:00:00+00:00,2737
2025-08-11 00:00:00+00:00,2749
2025-08-12 00:00:00+00:00,2764
2025-08-13 00:00:00+00:00,2783
2025-08-14 00:00:00+00:00,2797
2025-08-15 00:00:00+00:00,2825
2025-08-16 00:00:00+00:00,2835
2025-08-17 00:00:00+00:00,2856
2025-08-18 00:00:00+00:00,2870
2025-08-19 00:00:00+00:00,2886
2025-08-20 00:00:00+00:00,2901
2025-08-21 00:00:00+00:00,2919
2025-08-22 00:00:00+00:00,2926
2025-08-23 00:00:00+00:00,2931
2025-08-24 00:00:00+00:00,2939
2025-08-25 00:00:00+00:00,2948
2025-08-26 00:00:00+00:00,2965
2025-08-27 00:00:00+00:00,2977
2025-08-28 00:00:00+00:00,2982
2025-08-29 00:00:00+00:00,2996
2025-08-30 00:00:00+00:00,3005
2025-08-31 00:00:00+00:00,3014
2025-09-01 00:00:00+00:00,3020
2025-09-02 00:00:00+00:00,3034
2025-09-03 00:00:00+00:00,3046
2025-09-04 00:00:00+00:00,3054
2025-09-05 00:00:00+00:00,3065
2025-09-06 00:00:00+00:00,3072
2025-09-07 00:00:00+00:00,3075
2025-09-08 00:00:00+00:00,3095
2025-09-09 00:00:00+00:00,3106
2025-09-10 00:00:00+00:00,3112
2025-09-11 00:00:00+00:00,3120
2025-09-12 00:00:00+00:00,3126
2025-09-13 00:00:00+00:00,3131
2025-09-14 00:00:00+00:00,3140
2025-09-15 00:00:00+00:00,3147
2025-09-16 00:00:00+00:00,3160
2025-09-17 00:00:00+00:00,3166
2025-09-18 00:00:00+00:00,3180
2025-09-19 00:00:00+00:00,3190
2025-09-20 00:00:00+00:00,3193
2025-09-21 00:00:00+00:00,3200
2025-09-22 00:00:00+00:00,3216
2025-09-23 00:00:00+00:00,3229
2025-09-24 00:00:00+00:00,3247
2025-09-25 00:00:00+00:00,3259
2025-09-26 00:00:00+00:00,3272
2025-09-27 00:00:00+00:00,3279
2025-09-28 00:00:00+00:00,3292
2025-09-29 00:00:00+00:00,3304
2025-09-30 00:00:00+00:00,3317
2025-10-01 00:00:00+00:00,3333
2025-10-02 00:00:00+00:00,3342
2025-10-03 00:00:00+00:00,3350
2025-10-04 00:00:00+00:00,3359
2025-10-05 00:00:00+00:00,3367
2025-10-06 00:00:00+00:00,3378
2025-10-07 00:00:00+00:00,3393
2025-10-08 00:00:00+00:00,3407
2025-10-09 00:00:00+00:00,3413
2025-10-10 00:00:00+00:00,3423
2025-10-11 00:00:00+00:00,3434
2025-10-12 00:00:00+00:00,3441
2025-10-13 00:00:00+00:00,3448
2025-10-14 00:00:00+00:00,3469
2025-10-15 00:00:00+00:00,3485
2025-10-16 00:00:00+00:00,3505
2025-10-17 00:00:00+00:00,3517
2025-10-18 00:00:00+00:00,3533
2025-10-19 00:00:00+00:00,3550
